"ID_0","ID_1","altitude","DayTemp_const_term","EVI_const_term","MIR_const_term","NightTemp_const_term","RFE_const_term","DayTemp_Re0","EVI_Re0","MIR_Re0","NightTemp_Re0","RFE_Re0","DayTemp_Im0","EVI_Im0","MIR_Im0","NightTemp_Im0","RFE_Im0","DayTemp_Re1","EVI_Re1","MIR_Re1","NightTemp_Re1","RFE_Re1","DayTemp_Im1","EVI_Im1","MIR_Im1","NightTemp_Im1","RFE_Im1","travel_time","TSI","aedes_gen","population","Shape_Area","log_pop_den","birth_rate","mean_age","sd_age"
1,1,2064.757886,10149.217,47.52117079,90.45501646,-365.8894235,471.6535856,-4942.947766,-23.89672563,-14.48281935,-3255.932573,-147.9788045,-1543.530272,-0.889062257,-9.251645433,-1074.412763,87.18472057,-779.2781287,0.13537232,-5.243140899,-183.6320914,-49.33870387,84.57213069,-7.261973887,-0.906689568,-10.50939256,-167.405892,458.2136265,10957.53615,0,848236,43773.3061089719,3.01445238335751,0.0366476049929287,21.40954928365,17.3190750193979
1,2,1225.62005,15855.44732,63.02890765,134.7742608,3244.66729,263.8723684,-5219.739269,-7.925580384,-18.75062973,-2783.566426,16.76817825,-1180.100195,11.23549893,-13.58617198,-345.0280269,101.6741505,-483.5616008,-8.312177933,-3.688812858,-35.59887556,-82.74941507,-213.180611,-3.798001457,-1.808663109,-25.73619419,-89.61192972,241.8351061,14281.77008,0,427527,20636.8329731785,3.07808137654631,0.0366476049929287,21.40954928365,17.3190750193979
1,3,1285.796605,14061.05708,63.38600544,116.2001219,2805.319991,397.4720226,-4521.96513,-14.75004032,-12.56972085,-3021.337954,-106.0940106,-911.2874016,4.824577523,-7.823448754,-561.0519464,135.4504091,-548.5202741,-5.406034208,-3.35311765,-184.3052521,-73.03909559,39.55370408,-4.202632301,-1.003093785,-91.46505616,-171.7352725,211.8887136,18021.43362,0,764757,21165.7541497518,3.61447400517064,0.0366476049929287,21.40954928365,17.3190750193979
1,4,539.279238,15659.74444,67.95385946,142.014744,4784.721109,207.729892,-5081.557463,-8.357474664,-15.2640366,-3291.383002,-0.287153733,-723.7393893,4.737565414,-6.493071528,-442.4261531,103.5660138,-633.1985994,-5.084874673,-3.453862642,-133.5703586,-68.59240175,-129.9455646,-2.24895605,-1.374577503,10.49107084,-62.44394303,115.1515962,18319.19501,0,1140844,17287.2180585006,4.20459557822149,0.0366476049929287,21.40954928365,17.3190750193979
1,5,3011.799093,10262.24996,31.66579776,102.2719275,-2475.613227,219.5752127,-5727.349006,-20.01971831,-19.07099913,-3320.333725,-61.88251503,-2016.191497,-6.878172311,-10.17125257,-856.7077768,32.42290244,-651.8976905,1.339047085,-6.049670127,-375.5201532,-47.14885322,-319.3442847,-7.038667526,-6.540635714,-243.7090183,-96.44236458,524.2838996,693.1956783,0,307750,14207.1432960861,3.12067355419205,0.0366476049929287,21.40954928365,17.3190750193979
1,6,2441.538446,12876.3461,34.16762681,112.639629,859.2855458,203.1839101,-5447.835872,-13.83567576,-16.87046415,-3372.215337,-23.83852009,-1660.286057,-2.112308179,-7.942566925,-982.5365813,55.15104277,-538.1408524,-2.083473528,-5.336987506,-270.2918751,-54.98222666,-286.2842628,-6.719836776,-4.371078103,-205.9198228,-77.38692351,468.8482099,5825.397887,0,407118,17953.7460241704,3.16445918353598,0.0366476049929287,21.40954928365,17.3190750193979
1,7,951.6700818,18846.12787,45.80146654,163.3035755,5638.878022,133.9800259,-4350.045877,-2.192800174,-9.78110301,-3250.774262,28.96502127,-709.8544623,3.387129571,-3.938853771,-511.3436961,48.26480636,-546.9363726,-1.946901301,-1.532997461,-144.1044733,-23.03269728,-64.04667633,-0.640083208,-0.798509687,31.58823065,-12.46792374,427.9781181,16518.32176,0.676491472,451612,48579.900628013,2.33178194800629,0.0366476049929287,21.40954928365,17.3190750193979
1,8,1014.388229,15900.16289,62.50813521,137.9514903,3416.764318,280.6066307,-5317.440192,-8.695906995,-18.12992046,-2871.265042,6.643944896,-1151.027699,10.87946809,-13.70568985,-327.0670812,103.9471921,-485.5059796,-7.616035841,-3.817692559,-90.05954434,-94.62478266,-66.74857887,-3.661198251,-1.50857307,-24.15437363,-98.19591283,224.0846552,14785.53299,0,794065,20338.4668418078,3.68994189144426,0.0366476049929287,21.40954928365,17.3190750193979
1,9,2405.725085,13729.36067,41.53514191,138.4674789,285.985049,189.5994688,-5231.796078,-14.62772835,-19.04173109,-3420.136683,10.59582677,-1461.081111,-1.940964387,-11.33881728,-734.0672837,14.02796689,-662.8166839,-2.906810029,-8.596368981,-322.2774254,-24.8879329,-602.2953522,-7.889190602,-9.524287738,-131.6429834,-50.94735689,354.2525696,9405.290213,0,1068139,22978.9348286822,3.86038015866533,0.0366476049929287,21.40954928365,17.3190750193979
1,10,2610.371807,12258.06715,36.75438611,123.2446037,-1003.109442,199.3262917,-5752.03407,-17.11838387,-22.80849075,-3189.021495,-6.545573867,-1870.233188,-2.824835657,-10.81541716,-713.0989762,16.70851033,-702.0101876,-2.402672294,-8.44893069,-337.4613839,-52.53611889,-318.1220074,-8.100280228,-6.545366676,-218.8508143,-76.70862394,354.4295145,1638.774686,0,559161,36560.5857012248,2.79080265310534,0.0366476049929287,21.40954928365,17.3190750193979
1,11,934.9167547,18431.29662,67.09974421,152.4746325,5384.02235,105.2641275,-4016.139855,-5.285141297,-7.688595778,-2922.788996,16.15904174,-504.4997,5.226514684,-4.52330019,-279.6408415,47.83956705,-389.2494253,-6.952622318,0.969224981,-138.5868183,-16.346231,-231.0019677,2.944699662,-1.821884348,-48.93512604,-3.878822117,302.5371585,16274.63658,4.085982218,819842,58698.6781725006,2.70584500245418,0.0366476049929287,21.40954928365,17.3190750193979
1,12,1092.558101,16144.83388,64.55825887,128.3079649,4196.227331,162.818814,-4316.27888,-7.821278288,-11.67692215,-2991.304949,35.25622149,-737.0185316,7.637423829,-5.231719014,-428.3190299,59.12741332,-731.8086842,-5.372548029,-2.292681549,-57.58188255,-36.6982926,-88.80194394,-2.381439766,0.107009136,37.04290568,-36.75238292,164.9366363,18946.72929,0,1710419,54873.9486066317,3.47103322071873,0.0366476049929287,21.40954928365,17.3190750193979
1,13,455.3977286,16574.37057,68.59822221,147.6718065,4419.011433,220.8692173,-5504.588066,-6.135929314,-13.2835707,-3112.277037,5.764628784,-867.7925339,9.22757161,-9.83775479,-289.8015035,118.5779609,-609.3129507,-6.692016645,-3.06050695,-111.5878728,-90.74595067,-126.9535452,-0.847956477,-1.978022077,13.06340437,-56.50032465,266.1972974,18460.90899,0,432516,11824.8049254511,3.62639240920399,0.0366476049929287,21.40954928365,17.3190750193979
1,14,1822.922987,14223.49578,47.36363459,116.4249738,2876.012666,230.5417258,-4594.40197,-10.88025245,-11.17047142,-3123.930187,-46.42696695,-821.1759106,0.31336999,-3.803560617,-746.346473,59.23113021,-571.1823905,-2.34891845,-2.913282531,-306.86854,-54.011929,-215.0019695,-4.176540506,-3.741606452,-34.96300582,-80.20372674,50.28864873,15401.6584,0,3491047,4475.36646721664,6.66064986408831,0.0366476049929287,21.40954928365,17.3190750193979
1,15,1122.444934,18516.49019,59.18975784,160.8356851,4988.311638,127.8719447,-3854.324325,-6.476828069,-5.810224701,-2900.743216,26.51288494,-552.755453,2.961833692,-3.376940316,-307.0354775,52.38343865,-494.7344472,-3.306890974,-0.863459491,-182.9255189,-8.911935115,-172.9568995,-1.213127753,-0.061647464,-17.66886903,-1.193043969,108.2744903,14148.52237,0.752791894,968727,53680.6414758855,2.94686311506246,0.0366476049929287,21.40954928365,17.3190750193979
1,16,1676.09299,13536.8789,85.38264343,101.8273666,2524.083746,502.331733,-4116.888053,-19.98581536,-6.488849197,-2811.033519,-93.49217817,-893.5954803,3.645523742,-4.40681376,-1515.817233,153.2100443,-426.0016058,-8.533959262,-1.350148438,-31.88799819,-102.666714,-180.7213808,-2.400236221,-2.471780833,429.1809857,-165.801971,199.8787163,24613.49777,0,403905,1911.51426186261,5.3580053869218,0.0366476049929287,21.40954928365,17.3190750193979
1,17,1351.751255,15467.63659,77.68477511,105.2612547,4975.194725,834.2842503,-2943.146552,-8.084952338,-3.688167215,-2789.179877,-392.0285177,-175.5971257,3.912824493,-1.952283839,-633.1974978,153.0366082,-285.9240647,-6.073622765,1.210498102,-309.9370626,-94.83370705,-591.7433097,4.916778076,-3.2165353,-2.593032413,-29.84882212,232.8591058,28413.42124,2.222982877,474153,4033.10114544207,4.77546439462955,0.0366476049929287,21.40954928365,17.3190750193979
1,18,1225.762328,13634.01547,84.57752792,76.82617024,5034.256514,1048.823929,-3419.197321,-9.860738309,-4.845863497,-2682.077488,-280.0645296,-352.3549884,1.509015625,0.419456852,-1108.385233,148.134088,-266.4251164,-3.951700609,0.885309487,-77.22253601,-212.3238344,-531.8756154,2.248301449,-0.83690254,-46.66904728,-6.026568672,172.1029618,26136.80121,0,385860,4901.60276500989,4.37853541590454,0.0366476049929287,21.40954928365,17.3190750193979
1,19,419.3016815,14782.84594,93.46639436,99.49784192,4663.710023,285.7588294,-4295.259636,-19.63599871,-8.568099325,-3017.287642,-26.54660818,-563.8092432,6.411602517,-5.977008331,-316.0045528,145.5883863,-535.3932987,-11.70569557,-2.37320013,-179.2182997,-94.66670303,-293.3286854,4.055573848,-2.907259228,-100.4276213,-98.00239874,98.47626738,17840.31669,0,865754,8057.68734952011,4.68623830573555,0.0366476049929287,21.40954928365,17.3190750193979
1,20,1048.551318,16171.16363,70.73019675,112.2505514,5667.51521,498.451316,-3797.424925,-6.422315879,-4.045229887,-3059.928126,-128.0994886,-313.2713186,3.349742327,-2.043159572,-1086.265846,116.5489767,-234.7746937,-5.873821061,1.004724677,-85.79430428,-130.3770113,-517.0269317,3.444346615,-1.386297035,-19.2041246,-68.04784141,132.1376033,25019.61254,0,365760,3851.1976905202,4.56406744772178,0.0366476049929287,21.40954928365,17.3190750193979
1,21,2131.352849,14565.09229,45.76751358,119.0152528,1266.301184,225.1201856,-5090.920609,-13.42492013,-13.84329322,-3309.830995,-45.73019934,-1311.30437,2.028760101,-9.189347984,-806.1348576,57.12991859,-702.889793,-4.184516734,-5.219560974,-432.3834074,-29.5470655,-442.1907656,-7.381947563,-4.654748734,-82.96974651,-75.24245423,192.8556284,13133.54011,0,298102,3879.20667903287,4.35473411733616,0.0366476049929287,21.40954928365,17.3190750193979
1,22,882.1073028,16762.39971,69.79596569,112.8942528,6448.768964,660.4014875,-3685.907121,-6.903028251,-4.915456248,-3021.718735,-242.3665516,-269.4531777,4.053012421,-2.369283035,-682.3456037,181.8732525,-256.166239,-5.82761168,1.130011341,-261.4331901,-172.7721898,-443.2241177,3.486126925,-1.639871222,-22.81279518,-125.5606352,154.1655279,24731.32884,9.951097761,1269417,7486.7674343572,5.13905637470811,0.0366476049929287,21.40954928365,17.3190750193979
1,23,535.7015473,20393.4431,42.47588952,189.8656112,6222.730664,83.80141519,-3489.187104,-2.3345716,-3.164958759,-3263.345607,25.79844209,-310.5413335,0.391409672,-2.371203024,-336.6488291,29.28152082,-724.9095716,0.426183217,-0.739697972,-227.6325664,-6.463113683,62.36825132,-0.538360748,1.15977238,124.3766347,-5.536271666,421.601284,19653.39386,16.6096648,175465,41100.0201575822,1.66188221445361,0.0366476049929287,21.40954928365,17.3190750193979
1,24,2628.99658,7800.597688,62.01973419,68.52854526,-197.8323594,1329.664923,-4081.647458,-17.24125852,-6.904231768,-2816.910301,-389.1517921,-1088.377892,-7.34473056,-3.621363336,-1426.206503,319.4546965,-217.6667053,2.723542519,0.510857679,-161.3715957,-177.0141244,-284.2644384,-1.014166756,-0.486168731,127.2952865,-409.7857995,638.7369855,14520.68113,0,123694,9245.6568029825,2.66574141057113,0.0366476049929287,21.40954928365,17.3190750193979
1,25,2218.434415,15205.19788,46.08058122,143.2187055,1648.750886,336.3369538,-4492.715469,-6.329818667,-8.112501964,-3196.007349,-78.59860767,-968.6668824,1.0654193,-5.190527349,-627.1050645,78.0195172,-617.4825626,-1.012827772,-2.834363179,-276.922743,7.526860085,-502.065295,-3.280466516,-2.785226327,-20.37349607,-27.97912378,328.127959,15115.8783,0.001366464,357248,19116.1262633388,2.98002480987899,0.0366476049929287,21.40954928365,17.3190750193979
1,26,2276.765059,12899.0139,59.32280526,108.9296088,1341.559654,652.6011087,-4291.36793,-11.59743457,-8.632777191,-3134.847306,-191.3509722,-995.9505986,0.159250113,-4.70163136,-803.8985538,146.2262471,-510.0336603,-1.212825958,-2.737576695,-285.1852116,-52.01087105,-590.7199473,-4.392877534,-2.641301555,-137.0325437,-72.42127935,143.1522788,13668.98006,0,485531,6446.17487556464,4.33494541054653,0.0366476049929287,21.40954928365,17.3190750193979
1,27,2580.579467,9804.735628,37.79270449,87.86520425,-564.4583566,777.6811266,-4887.535415,-18.87434758,-10.89197603,-3114.758491,-330.1921105,-1483.723114,-5.07525466,-6.086559798,-1302.102758,156.2055146,-466.058297,-0.226596744,-2.613867472,-169.1570953,-24.98000926,-169.2314843,-6.71402339,-2.651313757,69.51514554,-309.5422467,481.7089904,11831.73898,0,129274,3643.41084194766,3.59680767683852,0.0366476049929287,21.40954928365,17.3190750193979
1,28,1862.686091,13414.79947,68.99717729,92.70997416,1949.782109,322.8515049,-4288.0201,-21.51987821,-7.457170205,-3103.204856,-76.59701466,-1028.600911,-0.519622474,-3.869939491,-1160.57191,96.99962646,-573.3587763,-4.778779736,-2.528339148,-97.63686061,-61.28211845,-195.4953388,-4.139465045,-3.046158562,113.7840301,-137.2743639,168.2131825,19836.85747,0,530447,5902.8280993361,4.50935503760645,0.0366476049929287,21.40954928365,17.3190750193979
